,Popularity,Explicit,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
119,73,0.0,0.745,0.675,5.0,-6.623,1.0,0.0993,0.236,0.0,0.13,0.827,94.864
120,70,0.0,0.72,0.63,10.0,-5.549,1.0,0.0413,0.615,0.0,0.108,0.512,81.009
121,49,0.0,0.493,0.321,2.0,-10.002,1.0,0.0293,0.91,0.00205,0.106,0.299,95.035
122,76,0.0,0.83,0.626,1.0,-6.637,1.0,0.034,0.688,1.23e-06,0.112,0.794,130.004
123,68,0.0,0.715,0.505,2.0,-8.341,0.0,0.0564,0.619,0.0,0.297,0.547,133.861
124,56,0.0,0.641,0.57,7.0,-10.111,1.0,0.0665,0.883,0.00177,0.161,0.569,79.931
125,80,0.0,0.273,0.405,0.0,-5.81,1.0,0.0298,0.735,0.0,0.189,0.534,89.48
126,62,0.0,0.712,0.659,2.0,-4.445,0.0,0.0332,0.334,1.28e-06,0.0884,0.322,93.961
127,78,0.0,0.612,0.595,10.0,-6.356,1.0,0.0331,0.68,1.11e-06,0.104,0.435,99.991
128,70,0.0,0.356,0.47,5.0,-8.929,1.0,0.0278,0.518,1e-05,0.0807,0.167,93.895
129,49,0.0,0.413,0.708,9.0,-9.096,1.0,0.0688,0.344,3.25e-05,0.289,0.49,86.87
130,71,0.0,0.696,0.499,2.0,-10.061,1.0,0.0415,0.582,0.0,0.101,0.591,151.848
131,68,0.0,0.532,0.603,10.0,-7.575,1.0,0.0545,0.756,0.0,0.323,0.431,173.955
132,72,0.0,0.385,0.464,2.0,-6.975,1.0,0.0404,0.452,0.0,0.109,0.15,137.839
133,74,0.0,0.427,0.396,11.0,-7.556,1.0,0.0366,0.736,0.0,0.11,0.306,70.368
134,74,0.0,0.634,0.529,10.0,-11.374,1.0,0.0248,0.794,0.0002,0.0567,0.409,94.014
135,71,0.0,0.577,0.574,0.0,-6.525,1.0,0.0278,0.572,0.0,0.1,0.436,94.009
136,70,0.0,0.63,0.739,0.0,-3.942,1.0,0.0248,0.194,0.0,0.113,0.224,109.985
137,61,0.0,0.485,0.657,2.0,-6.893,1.0,0.133,0.369,0.0,0.379,0.395,85.564
138,34,0.0,0.4,0.734,0.0,-6.383,1.0,0.0867,0.549,4.8e-06,0.0978,0.517,83.855
139,74,0.0,0.698,0.505,6.0,-8.242,0.0,0.0356,0.354,0.0,0.0995,0.396,95.868
140,67,0.0,0.605,0.53,11.0,-6.346,1.0,0.0246,0.821,0.0,0.131,0.397,93.95
141,67,0.0,0.549,0.737,0.0,-7.865,1.0,0.0386,0.459,0.00844,0.091,0.412,119.963
142,43,0.0,0.567,0.673,10.0,-7.668,1.0,0.0398,0.492,5.98e-05,0.102,0.325,117.919
